BusID,LAT,LON,Angle,Speed,Timestamp
150811705.0,12.95896,77.526558,200.0,0.0,2016-07-01 00:07:29
150811705.0,12.95896,77.526558,200.0,0.0,2016-07-01 01:37:08
150811705.0,12.958956,77.526596,200.0,0.0,2016-07-01 02:20:52
150811705.0,12.958956,77.526596,200.0,0.0,2016-07-01 02:24:40
150811705.0,12.958958,77.526588,200.0,0.0,2016-07-01 02:25:01
150811705.0,12.958958,77.526588,200.0,0.0,2016-07-01 05:24:13
150811705.0,12.959007,77.52655,200.0,0.0,2016-07-01 05:33:15
150811705.0,12.959007,77.52655,200.0,0.0,2016-07-01 05:33:25
150811705.0,12.959006,77.52655,200.0,0.0,2016-07-01 05:33:35
150811705.0,12.959006,77.52655,200.0,0.0,2016-07-01 05:33:44
150811705.0,12.959005,77.52655,200.0,0.0,2016-07-01 05:33:54
150811705.0,12.959004,77.52655,200.0,0.0,2016-07-01 05:34:04
150811705.0,12.959004,77.52655,200.0,0.0,2016-07-01 05:34:14
150811705.0,12.959003,77.52655,200.0,0.0,2016-07-01 05:34:24
150811705.0,12.959003,77.52655,200.0,0.0,2016-07-01 05:34:34
150811705.0,12.959002,77.52655,200.0,0.0,2016-07-01 05:34:44
150811705.0,12.959002,77.52655,200.0,0.0,2016-07-01 05:35:04
150811705.0,12.959001,77.52655,200.0,0.0,2016-07-01 05:35:14
150811705.0,12.959001,77.52655,200.0,0.0,2016-07-01 05:35:34
150811705.0,12.959,77.52655,200.0,0.0,2016-07-01 05:35:44
150811705.0,12.959,77.52655,200.0,0.0,2016-07-01 05:36:23
150811705.0,12.958999,77.52655,200.0,0.0,2016-07-01 05:36:33
150811705.0,12.958999,77.52655,200.0,0.0,2016-07-01 05:36:43
150811705.0,12.958998,77.52655,200.0,0.0,2016-07-01 05:36:53
150811705.0,12.958998,77.52655,200.0,0.0,2016-07-01 05:37:13
150811705.0,12.958997,77.52655,200.0,0.0,2016-07-01 05:37:23
150811705.0,12.959064,77.526588,167.0,0.0,2016-07-01 05:37:33
150811705.0,12.959041,77.52658100000002,206.0,0.0,2016-07-01 05:37:43
150811705.0,12.959071,77.526596,34.0,0.0,2016-07-01 05:37:54
150811705.0,12.959121,77.526619,7.0,0.0,2016-07-01 05:38:04
150811705.0,12.959087,77.526596,206.0,0.0,2016-07-01 05:38:14
150811705.0,12.959132,77.526566,249.0,0.0,2016-07-01 05:38:24
150811705.0,12.959118,77.526535,200.0,0.0,2016-07-01 05:38:34
150811705.0,12.959071,77.526543,201.0,0.0,2016-07-01 05:38:44
150811705.0,12.959017,77.52655,164.0,0.0,2016-07-01 05:38:54
150811705.0,12.958879,77.52649699999998,185.0,7.0,2016-07-01 05:39:03
150811705.0,12.958672,77.526505,204.0,5.0,2016-07-01 05:39:13
150811705.0,12.958593,77.526451,189.0,0.0,2016-07-01 05:39:23
150811705.0,12.958595,77.526451,189.0,0.0,2016-07-01 05:39:33
150811705.0,12.958595,77.526451,189.0,0.0,2016-07-01 05:39:43
150811705.0,12.958596,77.526451,189.0,0.0,2016-07-01 05:39:53
150811705.0,12.958595,77.526451,189.0,0.0,2016-07-01 05:42:01
150811705.0,12.95858,77.526443,200.0,5.0,2016-07-01 05:42:10
150811705.0,12.958299,77.52655,115.0,18.0,2016-07-01 05:42:21
150811705.0,12.957992,77.52712199999998,116.0,26.0,2016-07-01 05:42:30
150811705.0,12.95761,77.527817,125.0,30.0,2016-07-01 05:42:40
150811705.0,12.957407,77.528435,49.0,24.0,2016-07-01 05:42:50
150811705.0,12.957828,77.528633,15.0,23.0,2016-07-01 05:43:00
150811705.0,12.958596,77.528908,18.0,31.0,2016-07-01 05:43:10
150811705.0,12.959226,77.529114,16.0,30.0,2016-07-01 05:43:20
150811705.0,12.960092,77.529381,15.0,32.0,2016-07-01 05:43:30
150811705.0,12.960529,77.529839,98.0,22.0,2016-07-01 05:43:40
150811705.0,12.960379,77.530334,107.0,27.0,2016-07-01 05:43:50
150811705.0,12.960115,77.531044,112.0,31.0,2016-07-01 05:44:00
150811705.0,12.959974,77.531456,114.0,6.0,2016-07-01 05:44:10
150811705.0,12.959883,77.531784,96.0,30.0,2016-07-01 05:44:20
150811705.0,12.959886,77.531868,90.0,31.0,2016-07-01 05:44:20
150811705.0,12.959992,77.532761,87.0,32.0,2016-07-01 05:44:30
150811705.0,12.959609,77.533142,163.0,27.0,2016-07-01 05:44:39
150811705.0,12.958774,77.533501,156.0,40.0,2016-07-01 05:44:50
150811705.0,12.957979,77.533875,154.0,21.0,2016-07-01 05:45:00
150811705.0,12.957875,77.533913,164.0,9.0,2016-07-01 05:45:09
150811705.0,12.957371,77.534111,160.0,29.0,2016-07-01 05:45:20
150811705.0,12.956584,77.53441600000002,167.0,40.0,2016-07-01 05:45:30
150811705.0,12.95551,77.53466,163.0,40.0,2016-07-01 05:45:40
150811705.0,12.954989,77.53495,141.0,16.0,2016-07-01 05:45:50
150811705.0,12.954458,77.535477,134.0,38.0,2016-07-01 05:46:00
150811705.0,12.953667,77.53630799999998,130.0,45.0,2016-07-01 05:46:10
150811705.0,12.953307,77.537628,101.0,64.0,2016-07-01 05:46:20
150811705.0,12.953104,77.539284,95.0,60.0,2016-07-01 05:46:30
150811705.0,12.95289,77.540573,99.0,41.0,2016-07-01 05:46:40
150811705.0,12.952944,77.541397,67.0,16.0,2016-07-01 05:46:50
150811705.0,12.953066,77.541565,52.0,0.0,2016-07-01 05:47:00
150811705.0,12.953071,77.541573,52.0,0.0,2016-07-01 05:47:10
150811705.0,12.953073,77.541573,52.0,0.0,2016-07-01 05:47:20
150811705.0,12.953261,77.54184000000002,44.0,22.0,2016-07-01 05:47:29
150811705.0,12.953688,77.542511,70.0,36.0,2016-07-01 05:47:39
150811705.0,12.953943,77.543236,66.0,25.0,2016-07-01 05:47:49
150811705.0,12.95422,77.54379300000002,54.0,23.0,2016-07-01 05:47:59
150811705.0,12.954642,77.544258,47.0,21.0,2016-07-01 05:48:09
150811705.0,12.955157,77.544853,48.0,34.0,2016-07-01 05:48:19
150811705.0,12.955737,77.545624,54.0,30.0,2016-07-01 05:48:29
150811705.0,12.955895,77.54583000000002,53.0,0.0,2016-07-01 05:48:39
